name_constructor,wins
Ferrari,249
McLaren,185
Mercedes,129
Red Bull,122
Williams,114
Team Lotus,45
Renault,35
Benetton,27
Brabham,23
Tyrrell,23
Lotus-Climax,22
BRM,17
Cooper-Climax,12
Lotus-Ford,11
Alfa Romeo,11
Vanwall,10
Matra-Ford,9
Ligier,9
Maserati,9
Brawn,8
Brabham-Repco,8
Kurtis Kraft,5
McLaren-Ford,4
Jordan,4
Watson,3
March,3
Wolf,3
Honda,3
Cooper-Maserati,2
Cooper,2
Brabham-Climax,2
Brabham-Ford,2
Lotus F1,2
Epperly,2
Penske,1
Porsche,1
Racing Point,1
Eagle-Weslake,1
AlphaTauri,1
Shadow,1
Stewart,1
Toro Rosso,1
Hesketh,1
Kuzma,1
BMW Sauber,1
Alpine F1 Team,1
Lotus-BRM,1
