year,name_constructor,wins
1950,Talbot-Lago,37
1951,Talbot-Lago,45
1952,Ferrari,49
1953,Ferrari,48
1954,Maserati,67
1955,Maserati,51
1956,Maserati,69
1957,Maserati,61
1958,Maserati,53
1959,Cooper-Climax,49
1960,Cooper-Climax,55
1961,Lotus-Climax,69
1962,Lotus-Climax,65
1963,Lotus-Climax,36
1964,BRM,38
1965,Brabham-Climax,39
1966,Cooper-Maserati,40
1967,Cooper-Maserati,42
1968,Lotus-Ford,36
1969,Lotus-Ford,46
1970,March,63
1971,March-Ford,43
1972,March,64
1973,BRM,44
1974,Brabham,55
1975,March,33
1976,March,55
1977,March,68
1978,McLaren,55
1979,Team Lotus,41
1980,Williams,38
1981,Alfa Romeo,30
1982,March,35
1983,Williams,31
1984,Alfa Romeo,32
1985,Alfa Romeo,32
1986,Benetton,32
1987,Arrows,32
1988,Arrows,32
1989,Arrows,32
1990,AGS,32
1991,Benetton,32
1992,Benetton,32
1993,Benetton,32
1994,Benetton,32
1995,Benetton,34
1996,Benetton,32
1997,Arrows,34
1998,Arrows,32
1999,Arrows,32
2000,Arrows,34
2001,Arrows,34
2002,BAR,34
2003,BAR,32
2004,BAR,36
2005,Ferrari,38
2006,BMW Sauber,36
2007,BMW Sauber,34
2008,BMW Sauber,36
2009,BMW Sauber,34
2010,Ferrari,38
2011,Ferrari,38
2012,Caterham,40
2013,Caterham,38
2014,Ferrari,38
2015,Ferrari,38
2016,Ferrari,42
2017,Ferrari,40
2018,Ferrari,42
2019,Alfa Romeo,42
2020,Alfa Romeo,34
2021,Alfa Romeo,44
2022,Alfa Romeo,44
2023,Alfa Romeo,44
2024,Alpine F1 Team,48
