Grid,MeanLapTime_sec,AirTemp,TrackTemp,Humidity,Rainfall,Team_Alfa Romeo,Team_Alfa Romeo Racing,Team_AlphaTauri,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Force India,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Racing Point,Team_Red Bull Racing,Team_Renault,Team_Sauber,Team_Toro Rosso,Team_Williams,Team_nan
19.0,,22.7546762589928,32.72949640287769,52.697841726618705,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9.0,,28.82387096774194,44.91612903225806,46.92258064516129,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7.0,,34.44406779661016,50.74406779661018,17.965254237288136,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,,19.00588235294118,30.80588235294118,60.96078431372549,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5.0,,17.825174825174823,17.723776223776223,47.86013986013986,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6.0,,27.28860759493671,42.070253164556966,42.31645569620253,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16.0,,28.148447204968942,37.47080745341616,61.192546583850934,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5.0,,16.791866028708135,24.94114832535885,70.77511961722487,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,,28.808536585365857,48.579268292682926,32.80487804878049,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15.0,,21.29140625,40.6328125,44.16796874999999,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.0,,30.786250000000003,36.445625,74.65,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,,20.1231884057971,34.47028985507246,50.70942028985507,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15.0,,25.09907407407407,27.548148148148147,67.84722222222223,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7.0,,26.69743589743589,37.40833333333334,43.65384615384615,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3.0,,22.189898989898992,30.822222222222223,63.8070707070707,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,,28.885234899328864,43.52751677852349,33.275838926174494,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18.0,,16.791866028708135,24.94114832535885,70.77511961722487,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.0,,12.899367088607592,17.41898734177215,83.17088607594937,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.0,,21.596499999999995,46.318000000000005,63.99,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
12.0,,29.330128205128204,42.928205128205136,42.32051282051282,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,,18.05,17.99444444444444,47.361111111111114,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13.0,,27.43167701863354,31.01180124223602,21.496894409937887,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.0,,19.00588235294118,30.80588235294118,60.96078431372549,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,,21.596499999999995,46.318000000000005,63.99,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,,26.962820512820517,33.46089743589744,51.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.0,,19.32992125984252,27.33700787401575,45.98110236220473,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
11.0,,19.32992125984252,27.33700787401575,45.98110236220473,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7.0,,28.808536585365857,48.579268292682926,32.80487804878049,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.0,,29.96011904761904,40.62857142857143,41.910714285714285,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17.0,,23.7696,40.0688,75.4128,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11.0,,27.226701570680625,37.822513089005234,68.61570680628273,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16.0,,17.797345132743363,24.569911504424784,73.38053097345133,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10.0,,19.392537313432832,38.950746268656715,39.403731343283575,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,,21.619354838709675,32.18387096774193,57.47822580645161,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,,28.816062176165804,31.68497409326425,76.20310880829015,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11.0,,28.684166666666663,52.025,33.8325,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
