Season,Race,Driver,Team,Grid,Position,MeanLapTime,AirTemp,TrackTemp,Humidity,Rainfall,NumPitStops,PitStopLaps,PitCompounds,AvgPitStopDuration
2023,Pre-Season Testing,VER,Red Bull Racing,1.0,1.0,0 days 00:01:36.832686274,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,GAS,Alpine,10.0,18.0,0 days 00:01:39.991288888,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,PER,Red Bull Racing,15.0,6.0,0 days 00:01:38.650384615,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,ALO,Aston Martin,9.0,7.0,0 days 00:01:38.733288461,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,LEC,Ferrari,4.0,9.0,0 days 00:01:38.762057692,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,STR,Aston Martin,12.0,14.0,0 days 00:01:38.835019230,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,SAR,Williams,14.0,11.0,0 days 00:01:38.857115384,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,MAG,Haas F1 Team,19.0,19.0,0 days 00:01:34.706612903,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,DEV,AlphaTauri,18.0,17.0,0 days 00:01:39.039730769,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,TSU,AlphaTauri,16.0,16.0,0 days 00:01:39.003134615,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,ALB,Williams,8.0,8.0,0 days 00:01:38.746461538,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,ZHO,Alfa Romeo,17.0,15.0,0 days 00:01:38.976115384,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,HUL,Haas F1 Team,11.0,13.0,0 days 00:01:38.915403846,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,OCO,Alpine,13.0,20.0,0 days 00:01:35.150111111,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,NOR,McLaren,2.0,2.0,0 days 00:01:37.163431372,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,HAM,Mercedes,7.0,3.0,0 days 00:01:37.489686274,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,SAI,Ferrari,5.0,10.0,0 days 00:01:38.776653846,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,RUS,Mercedes,6.0,5.0,0 days 00:01:38.618153846,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,BOT,Alfa Romeo,20.0,12.0,0 days 00:01:38.899384615,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Pre-Season Testing,PIA,McLaren,3.0,4.0,0 days 00:01:38.552192307,21.473509933774835,30.94105960264901,56.18543046357616,False,0,,,
2023,Bahrain Grand Prix,VER,Red Bull Racing,1.0,1.0,0 days 00:01:38.890105263,27.43167701863354,31.01180124223602,21.496894409937887,False,0,,,
2023,Bahrain Grand Prix,GAS,Alpine,20.0,9.0,0 days 00:01:40.184017543,27.43167701863354,31.01180124223602,21.496894409937887,False,0,,,
2023,Bahrain Grand Prix,PER,Red Bull Racing,2.0,2.0,0 days 00:01:39.100403508,27.43167701863354,31.01180124223602,21.496894409937887,False,0,,,
2023,Bahrain Grand Prix,ALO,Aston Martin,5.0,3.0,0 days 00:01:39.567947368,27.43167701863354,31.01180124223602,21.496894409937887,False,0,,,
2023,Bahrain Grand Prix,LEC,Ferrari,3.0,19.0,0 days 00:01:39.644051282,27.43167701863354,31.01180124223602,21.496894409937887,False,0,,,
