Driver,NumPitStops,AvgStinitLen,FirstPitLap,LastPitLap,CompoundsUsed,Abbreviation,TeamName,GridPosition,Position,AvgLapTimeChange
ALB,1,25.5,16.0,16.0,"MEDIUM, HARD",ALB,Williams,6.0,7.0,0.118466667
ALO,1,25.5,22.0,22.0,"MEDIUM, HARD",ALO,Aston Martin,10.0,9.0,0.434480952
BOT,1,25.5,26.0,26.0,"HARD, MEDIUM",BOT,Alfa Romeo,14.0,10.0,0.66668
GAS,2,17.0,11.0,32.0,"MEDIUM, HARD",GAS,Alpine,17.0,15.0,0.260457143
GAS,2,17.0,11.0,32.0,"MEDIUM, HARD",GAS,Alpine,17.0,15.0,1.019774436
HAM,1,25.5,28.0,28.0,"HARD, MEDIUM",HAM,Mercedes,8.0,6.0,0.534648148
HUL,2,17.0,15.0,40.0,"MEDIUM, HARD",HUL,Haas F1 Team,13.0,17.0,-0.228305715
HUL,2,17.0,15.0,40.0,"MEDIUM, HARD",HUL,Haas F1 Team,13.0,17.0,0.513065455
LAW,2,17.0,14.0,34.0,"MEDIUM, HARD",LAW,AlphaTauri,12.0,11.0,-0.124
LAW,2,17.0,14.0,34.0,"MEDIUM, HARD",LAW,AlphaTauri,12.0,11.0,0.971117648
LEC,1,25.5,21.0,21.0,"MEDIUM, HARD",LEC,Ferrari,3.0,4.0,0.226198388
MAG,2,17.0,13.0,34.0,"HARD, MEDIUM",MAG,Haas F1 Team,19.0,18.0,0.757714286
MAG,2,17.0,13.0,34.0,"HARD, MEDIUM",MAG,Haas F1 Team,19.0,18.0,0.688619047
NOR,1,25.5,23.0,23.0,"MEDIUM, HARD",NOR,McLaren,9.0,8.0,0.107981191
OCO,1,19.5,25.0,25.0,"MEDIUM, HARD",OCO,Alpine,18.0,19.0,-1.291158333
PER,1,25.5,22.0,22.0,"MEDIUM, HARD",PER,Red Bull Racing,5.0,2.0,0.413376191
PIA,2,17.0,24.0,42.0,"MEDIUM, HARD",PIA,McLaren,7.0,12.0,-0.605231884
PIA,2,17.0,24.0,42.0,"MEDIUM, HARD",PIA,McLaren,7.0,12.0,-0.716111111
RUS,1,25.5,20.0,20.0,"MEDIUM, HARD",RUS,Mercedes,4.0,5.0,0.301067434
SAI,1,25.5,20.0,20.0,"MEDIUM, HARD",SAI,Ferrari,1.0,3.0,0.1808125
SAR,1,25.5,15.0,15.0,"MEDIUM, HARD",SAR,Williams,15.0,13.0,0.503698413
STR,1,25.5,21.0,21.0,"MEDIUM, HARD",STR,Aston Martin,20.0,16.0,0.385483334
VER,1,25.5,21.0,21.0,"MEDIUM, HARD",VER,Red Bull Racing,2.0,1.0,0.097840323
ZHO,2,17.0,12.0,34.0,"MEDIUM, HARD",ZHO,Alfa Romeo,16.0,14.0,0.225818182
ZHO,2,17.0,12.0,34.0,"MEDIUM, HARD",ZHO,Alfa Romeo,16.0,14.0,0.544427807
